Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-09-26 00:00:00+01:00,35.46085739135742,35.62153244018555,35.406402587890625,35.468360900878906,0,0.0,0.0
2024-09-27 00:00:00+01:00,35.16144561767578,35.465789794921875,35.03725051879883,35.16262435913086,0,0.0,0.0
2024-09-30 00:00:00+01:00,35.2728271484375,35.5012092590332,35.185970306396484,35.26750946044922,0,0.0,0.0
2024-10-01 00:00:00+01:00,35.3577995300293,35.53315734863281,35.16390609741211,35.168212890625,0,0.0,0.0
2024-10-02 00:00:00+01:00,35.29457473754883,35.307525634765625,35.14117431640625,35.14195251464844,0,0.0,0.0
2024-10-03 00:00:00+01:00,35.13934326171875,35.43377685546875,35.11452102661133,35.14167404174805,0,0.0,0.0
2024-10-04 00:00:00+01:00,35.296390533447266,35.437747955322266,33.14259338378906,35.333717346191406,0,0.0,0.0
2024-10-07 00:00:00+01:00,35.435707092285156,35.446842193603516,35.25408172607422,35.479976654052734,0,0.0,0.0
2024-10-08 00:00:00+01:00,35.25224685668945,35.438880920410156,35.22684860229492,35.252193450927734,0,0.0,0.0
2024-10-09 00:00:00+01:00,35.30489730834961,35.40571212768555,35.14598846435547,35.30819320678711,0,0.0,0.0
2024-10-10 00:00:00+01:00,35.26210403442383,35.3165168762207,35.22015380859375,35.26216125488281,0,0.0,0.0
2024-10-11 00:00:00+01:00,35.202880859375,35.27327346801758,35.13130569458008,35.200958251953125,0,0.0,0.0
2024-10-14 00:00:00+01:00,35.07182312011719,35.195587158203125,35.07182312011719,35.10554504394531,0,0.0,0.0
2024-10-15 00:00:00+01:00,35.06605529785156,35.11701965332031,35.010887145996094,35.07554626464844,0,0.0,0.0
2024-10-16 00:00:00+01:00,35.013004302978516,35.08208465576172,34.97343063354492,35.014530181884766,0,0.0,0.0
2024-10-17 00:00:00+01:00,34.890323638916016,34.97376251220703,34.73789596557617,34.894073486328125,0,0.0,0.0
2024-10-18 00:00:00+01:00,34.724952697753906,34.844478607177734,34.72224426269531,34.72817611694336,0,0.0,0.0
2024-10-21 00:00:00+01:00,34.82296371459961,34.82296371459961,34.589683532714844,34.8203125,0,0.0,0.0
2024-10-22 00:00:00+01:00,34.665470123291016,34.742069244384766,34.6020622253418,34.663639068603516,0,0.0,0.0
2024-10-23 00:00:00+01:00,34.502227783203125,34.68709182739258,34.49589920043945,34.56526184082031,0,0.0,0.0
2024-10-24 00:00:00+01:00,34.50156784057617,34.705482482910156,34.49736785888672,34.498592376708984,0,0.0,0.0
2024-10-25 00:00:00+01:00,34.62382888793945,34.755287170410156,34.58895492553711,34.61787414550781,0,0.0,0.0
2024-10-28 00:00:00+00:00,34.615135192871094,34.745277404785156,34.5894660949707,34.62469482421875,0,0.0,0.0
